Timestamp,age,gender,level,income level,income level (num),ID,Current career /future career,Data scientist?,devices count,own Laptop,own DeskTop,own Tablet,device use ratio ,main device,MAIN usage device,Surfing the internet,device price,what would you rebuy,would he chage his device,operating system,device's performance.,Screen size importance,Portability importance,Upgradability importance, working without cable importance,Performance importance,Affordability importance,CD existence importance,Integrated camera importance,Multiple monitors importance,hours Gaming,hours Work,hours Academic study,Self study hours ,Entertainment (general) hours ,sum of the time spent,processor.,is it intel ,processor generation,how powerful from 1_to_5,graphics card model,how powerful from 1_to_5,point of view
2023/05/04 12:54:31 PM GMT+3,18,Female,First,Low,1,,Data scientist,1,3,Yes,No,Yes,I only use laptop,1,Study,0,20000,Laptop,0,Windows,Medium end device ,2,5,3,4,4,3,1,1,1,1,1,5,3,3,8,Ryzen 7,0,12,5,Amd radeon,2,Laptop
2023/05/04 12:58:58 PM GMT+3,20,Female,Second,Medium,2,,Data scientist,1,3,Yes,No,Yes,I only use laptop,1,Study,0,15000,Desktop computer,1,Windows,medium high specs,3,3,2,5,4,3,1,3,2,1,5,3,3,1,8,Core i5,1,10,4,,,"PC , its size and make perfect environment for work "
2023/05/04 2:17:05 PM GMT+3,21 or more,Male,Fourth,Low,1,,Data analyst,1,3,Yes,Yes,Yes,80% using laptop 20% using desktop computer,1,Gaming,0,          ,Laptop,0,Windows,high end specs,2,2,2,2,1,1,3,3,3,8,7,5,3,3,22,Ryzen 5,0,3,3,Rtx 3060 ,5,Pc
2023/05/04 2:33:37 PM GMT+3,21 or more,Female,Fourth,Medium,2,20191485964,mobile developer,0,2,Yes,No,No,80% using laptop 20% using desktop computer,1,Work,0,15000,Laptop,0,Windows,Medium end device,2,3,4,4,3,2,2,3,4,1,3,3,5,1,8,Core i5,1,10,4,,,"laptop 
The laptop can be moved easily from one location to other thanks to its lightweight, small size, and built-in battery."
2023/05/04 2:38:50 PM GMT+3,19,Male,First,Medium,2,,Cyber security analyst,0,3,Yes,Yes,Yes,60% using laptop 40% using desktop computer,1,Study,0,40000,Laptop,0,Windows,high end specs,2,1,1,2,1,1,3,3,2,1,3,5,1,1,6,Core i7,1,12,5,rtx3060,5,laptop for the portability and work
2023/05/04 2:40:00 PM GMT+3,20,Male,Second,Low,1,,Data scientist,1,3,Yes,No,Yes,50% using laptop 50% using desktop computer,,Surfing the internet,1,4600,Desktop computer,1,Windows,medium high specs,1,2,1,2,2,3,1,3,1,1,1,3,3,5,8,AMD a6,0,5,2,,,Laptop 💻 more effective 
2023/05/04 2:41:19 PM GMT+3,21 or more,Female,Third,Low,1,20201447217,mobile developer,0,4,Yes,No,Yes,I only use laptop,1,Gaming,0,40000,Desktop computer,1,Windows,high end specs,4,5,3,4,5,1,1,2,3,8,5,5,7,3,24,Core i7,1,12,5,Rtx 3060,5,Laptop as it is much easier to mova around with especially if i need it to show work or have a game night
2023/05/04 2:46:07 PM GMT+3,21 or more,Female,Fourth,Lower medium,3,20191485923,mobile developer,0,2,Yes,Yes,Yes,40% using laptop 60% using desktop computer,0,Work,0,11000,Desktop computer,0,Windows,medium high specs,3,2,5,2,5,3,1,2,1,1,5,3,3,5,12,Core i5,1,12,4,,,"PC, high quality and performance with less price "
2023/05/04 2:46:18 PM GMT+3,21 or more,Male,First,Lower medium,3,90909090900,Data scientist,1,3,Yes,Yes,Yes,I only use PC,0,Work,0,8000,Laptop,0,Windows,medium high specs,3,4,5,5,5,2,1,3,1,1,5,3,5,1,10,Intel Xeon,1,5,3,,,"PC, For several reasons, including that it does not heat up and its performance is better "
2023/05/04 3:08:48 PM GMT+3,19,Female,First,Medium,2,22010089,Data scientist,1,3,Yes,No,No,I don�t have both,1,Study,0,13000,Laptop,0,Windows,Medium end device,3,4,2,2,3,2,1,1,1,1,1,3,5,1,6,Core i5,1,11,4,Intel iris x,3,I prefer my phone more
2023/05/04 3:12:16 PM GMT+3,20,Male,Second,Low,1,400000000,Teaching ,0,5 or more,Yes,Yes,Yes,I only use PC,0,Gaming,0,13000,Desktop computer,0,Windows,Medium end device ,3,1,3,1,2,2,1,1,1,3,1,5,3,1,8,Core i5,1,4,3,Nvidia gtx 1050 ti,4,Pc more comfortable to use & can upgrade your species
2023/05/04 3:35:12 PM GMT+3,20,Female,Second,Low,1,,Quantum Physicist,0,4,Yes,Yes,Yes,I only use laptop,1,Study,0,40000,Laptop,0,Windows,high end specs,3,5,5,5,5,5,2,3,3,1,3,8,8,5,22,Ryzen 7,0,7,5,RTX 3050 TI,5,"Laptop. for the reasons stated before at the scaling part. I guess especially that point of being portable. but performance wise, I think laptop perform powerfully relatively compared with PC. in addition to being affordable somehow."
2023/05/04 5:56:43 PM GMT+3,21 or more,Male,Fourth,Low,1,20191567610,Video Game Developer,0,2,Yes,No,No,I don�t have both,1,Study,0,7000,Desktop computer,1,Windows,medium high specs,4,2,4,5,5,4,1,2,2,1,1,3,1,3,4,Core i7,1,4,3,Nvidia quadro k2100,3,"PC, cuz it has higher performance in general for a cheaper price."
2023/05/04 6:13:45 PM GMT+3,21 or more,Female,Fourth,Lower medium,3,,Data scientist,1,2,Yes,No,No,60% using laptop 40% using desktop computer,1,Study,0,3900,Laptop,0,Windows,Medium end device ,2,3,5,5,4,3,1,1,5,1,5,8,7,8,26,AMD a6,0,10,3,,,"laptop for Mobility
pc for low price with high Possibilities "
2023/05/04 6:22:59 PM GMT+3,20,Female,Second,Medium,2,,Dentist ,0,3,Yes,Yes,Yes,80% using laptop 20% using desktop computer,1,Surfing the internet,1,8000,Laptop,0,Windows,Medium end device,3,4,5,5,5,5,2,5,2,1,3,5,3,7,14,Core i7,1,10,5,,,
2023/05/04 6:48:16 PM GMT+3,20,Female,Second,Higher medium,4,20221370605,web developer,0,3,Yes,Yes,Yes,I only use PC,0,Work,0,13000,Desktop computer,0,Windows,Medium end device ,5,5,5,5,5,4,5,5,5,8,5,8,8,7,34,AMD a8,0,10,3,,,Laptop 
2023/05/04 7:14:39 PM GMT+3,20,Male,First,Low,1,21011060,web developer,0,3,Yes,Yes,Yes,80% using laptop 20% using desktop computer,1,Study,0,32000,Laptop,0,Windows,Medium end device,3,2,3,3,2,1,1,1,3,1,3,5,3,3,10,Core i7,1,8,4,ASUS Dual NVIDIA GeForce RTX 3050,5,Laptop because laptop is more easy than pc and I can use it in any place I want and laptop take smaller place than pc
2023/05/04 8:05:43 PM GMT+3,19,Female,First,Lower medium,3,,Software Developer,0,3,Yes,No,Yes,I only use laptop,1,Study,0,27000,Laptop,0,Windows,Medium end device,4,4,2,3,4,4,2,4,3,1,1,3,1,1,2,Core i7,1,11,5,,,Laptop; more portable and lighter
2023/05/04 8:18:21 PM GMT+3,20,Male,Second,Low,1,,web developer,0,3,yes,No,Yes,I don�t have both,1,Gaming,0,12000,Laptop,1,Windows,high end specs,3,5,5,3,5,3,5,1,3,1,1,3,3,1,4,Core i5,1,4,3,GTX 1050 4GB,4,Both 
2023/05/04 8:28:10 AM GMT+3,20,Male,Third,Medium,2,20201495703,web developer,0,4,Yes,No,No,I don�t have both,1,Study,0,15000,Laptop,0,Windows,medium high specs,4,4,3,4,4,4,4,2,3,1,3,5,7,5,16,Core i3,1,5,2,,,Laptop 
2023/05/04 9:05:40 PM GMT+3,20,Male,Second,High,5,,Video Game Developer,0,3,Yes,No,Yes,I only use laptop,1,Gaming,0,30000,Laptop,0,Windows,medium high specs,3,4,3,3,4,2,4,3,4,8,1,1,1,1,8,AMD a8,0,8,3,ASUS Dual NVIDIA GeForce RTX 3050,5,Laptop 
2023/05/05 11:55:34 PM GMT+3,19,Male,Second,Low,1,20221685697,Data scientist,1,3,Yes,Yes,Yes,20% using laptop 80% using desktop computer,0,Gaming,0,30000,Desktop computer,0,Windows,medium high specs,5,1,4,1,5,5,1,1,3,5,1,1,1,1,4,Ryzen 5,0,12,4,rtx 3060,5,i think that pc is better if you are thinking about a device that you dont change for a while and even if you to change some specs you can simply buy the components for it
2023/05/05 4:20:42 AM GMT+3,20,Female,Second,Lower medium,3,,Electrical engineer,0,3,Yes,No,Yes,80% using laptop 20% using desktop computer,1,Surfing the internet,1,30000,Laptop,0,Windows,Medium end device,4,5,2,3,5,5,1,4,1,1,1,7,1,3,8,Core i7,1,11,5,,,Laptop because of mobility 
2023/05/05 4:36:22 PM GMT+3,21 or more,Female,Fourth,Medium,2,2019482022,Data scientist,1,3,Yes,Yes,Yes,80% using laptop 20% using desktop computer,1,Study,0,38000,Laptop,0,Windows,medium high specs,4,4,3,3,4,3,1,3,3,1,7,5,5,3,16,Core i7,1,11,5,,,Pc for portability 
2023/05/05 6:34:01 AM GMT+3,21 or more,Female,Fourth,Medium,2,,Data scientist,1,4,Yes,Yes,Yes,40% using laptop 60% using desktop computer,0,Work,0,15500,Desktop computer,0,Mac,medium high specs,3,4,4,4,5,4,2,1,3,5,7,3,3,5,18,Core i5,1,8,4,Intel Iris 5100,4,"PC, easily upgradable, costs less for same performance, greater storage, doesn't heat up like laptops, no battery that'll die after a short time"
2023/05/05 9:28:17 AM GMT+3,19,Male,First,Low,1,22010136,mobile developer,0,2,Yes,No,No,20% using laptop 80% using desktop computer,0,Study,0,7500,Desktop computer,1,Windows,Medium end device ,2,2,2,2,3,3,2,1,2,1,1,1,5,3,6,Core i7,1,6,3,,,Pc
