"Timestamp","How old are you?","Choose gender.","What is your level?","What is your income level?","Enter your ID."," ? Current career or your future career plans/field","How many devices do you own? (This includes phones, tablets, PC's, laptops and similar devices)","Which of these devices do you own?","If you own both laptop and desktop computer ,which of them do you use more ?","What is the MAIN usage of your device?","What is the price of your main device?","if you got the chance to rebuy the main computer device (laptop , pc ) you use at moment what would you choose instead , (or if you going to stick with your current device choose your device)","What is your main operating system?","Use the best choice to describe your device's performance.","How important is each of these attributes to you [Screen size?]","How important is each of these attributes to you [Portability(قابلية التنقل)]","How important is each of these attributes to you [Upgradability ?(قابل للترقية)]","How important is each of these attributes to you [The device ability to work without cable (without electricity using only battery))]","How important is each of these attributes to you [Performance ?]","How important is each of these attributes to you [Affordability?]","How important is each of these attributes to you [The existence of CD- Drive ?]","How important is each of these attributes to you [Integrated camera ?]","How important is each of these attributes to you [Multiple monitors ?]","How often do you use your device for …… daily  ? (hours) [Gaming?]","How often do you use your device for …… daily  ? (hours) [Work?]","How often do you use your device for …… daily  ? (hours) [Academic study?]","How often do you use your device for …… daily  ? (hours) [Self study (course,etc)]","How often do you use your device for …… daily  ? (hours) [Entertainment (other than gaming) الترفيه]","Choose your processor.","Choose your processor generation","What is your graphics card model","From your point of view , what do you prefer more laptop or pc , state your reasons "
"2023/05/02 9:57:18 PM GMT+3","17","Female","Fourth","Low","55555","الكارير بتاع دلوقتى ماسك البرشا وجبت فيها كريستيانو بحاول العب بيهم دورى الأبطال علشان الاتنين مايعيعطوش","1","Desktop computer","I only use laptop","Gaming","500.5","Desktop computer","Mac","Low end device. (Can do basic tasks like surfing the web or running Office programs (Word, PowerPoint))","1","1","1","1","1","1","1","1","1","6 to 8","0 to 2","0 to 2","0 to 2","6 to 8","Snapdragon 8 gen 3 + pro max ultra ","13","RTX 5090 Ti","اللاب توب علشان الديسك توب"
"2023/05/02 10:32:47 PM GMT+3","20","Male","Second","Low","20221374504","Data scientist","3","Laptop;Tablet","I don’t have both","Study","13000","Laptop","Windows","Medium end device (Can run coding programs and a low-end gaming experience )","3","5","4","4","5","5","2","3","2","0 to 2","0 to 2","2 to 4","2 to 4","0 to 2","Core i7","10","intel(R) UHD graphics - nvidia Geforce MX250","laptop , Because it is easy to move around"
"2023/05/02 10:34:19 PM GMT+3","20","Female","Second","Medium","2022","AI Engineer","3","Laptop;Tablet","I only use laptop","Study","25000","Laptop","Windows","medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)","4","5","2","5","5","5","2","5","5","0 to 2","0 to 2","2 to 4","0 to 2","0 to 2","Ryzen 7","10","1650th","Laptop .. easy "
"2023/05/02 11:37:51 PM GMT+3","21 or more","Male","Second","Medium","2022","Data scientist","3","Laptop;Desktop computer","80% using laptop 20% using desktop computer","Study","18000","Laptop","Windows","medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)","3","4","4","4","4","3","1","1","3","0 to 2","2 to 4","2 to 4","4 to 6","2 to 4","Core i7","10","Gtx1660","Laptop "
"2023/05/03 10:11:29 AM GMT+3","19","Male","First","Medium","0111111111","Software Developer","3","Laptop;Tablet","I only use laptop","Study","25000","Laptop","Windows","medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)","5","3","1","5","5","5","1","4","1","4 to 6","+8","+8","2 to 4","0 to 2","Core i7","11","Rtx 3050","Laptop
As it is portable"
"2023/05/03 10:12:25 AM GMT+3","20","Male","First","Lower medium","21010023","Penetration tester","4","Laptop;Desktop computer;Tablet","I only use laptop","Study","16000","Laptop","Windows","medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)","2","4","4","3","4","4","3","2","3","0 to 2","0 to 2","4 to 6","2 to 4","2 to 4","Core i5","5","do not know","laptop; as it is portable and there are very slight differences between pc and laptop I can neglect"
"2023/05/03 10:46:07 AM GMT+3","19","Female","Second","Low","20221440817","mobile developer","4","Laptop;Desktop computer;Tablet","I only use laptop","Study","10000","Laptop","Windows","medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)","4","5","5","3","5","5","1","1","5","0 to 2","0 to 2","+8","2 to 4","2 to 4","Core i7","4","NVIDIA Quadro K2100M","Laptop 
I own the laptop but the pc is used by the whole family and laptop is much easier to use and to transport with it"
"2023/05/03 1:58:35 PM GMT+3","18","Male","Second","Low","20221450635","Data scientist","3","Laptop;Desktop computer;Tablet","40% using laptop 60% using desktop computer","Gaming","3000","Laptop","Windows","Low end device. (Can do basic tasks like surfing the web or running Office programs (Word, PowerPoint))","4","4","4","4","4","4","4","4","4","4 to 6","4 to 6","4 to 6","4 to 6","4 to 6","Core i7","11","Idk what it is ","Laptop "
"2023/05/04 8:28:10 AM GMT+3","20","Male","Third","Medium","20201495703","web developer","4","Laptop","I only use laptop","Study","15000","Laptop","Windows","medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)","4","4","3","4","4","4","4","2","3","0 to 2","2 to 4","4 to 6","6 to 8","4 to 6","Core i3","5","I don't know ","Laptop "
"2023/05/04 11:20:10 AM GMT+3","21 or more","Male","Fourth","Low","2010592694","Software Developer","2","Laptop","20% using laptop 80% using desktop computer","Study","18000","Laptop","Windows","medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)","3","2","3","1","3","3","1","1","3","0 to 2","4 to 6","4 to 6","4 to 6","2 to 4","Ryzen 7","9","Gtx1660i","More pc"
"2023/05/04 11:51:51 AM GMT+3","20","Male","Second","Medium","303050102059","Student","5 or more","Laptop;Desktop computer;Tablet","20% using laptop 80% using desktop computer","Work","50000","Desktop computer","Windows","high end specs device(can run mostly any game ,can do mostly any graphic work , a ""beast”)","3","1","3","1","3","3","1","1","3","0 to 2","4 to 6","4 to 6","2 to 4","0 to 2","Core i5","11","3070 ti","Pc more powerful"
"2023/05/04 11:53:24 AM GMT+3","21 or more","Male","Fourth","Medium","2019567134","Data scientist","3","Laptop;Desktop computer","40% using laptop 60% using desktop computer","All the above","30000","Desktop computer","Windows","medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)","3","4","5","3","5","5","3","4","2","4 to 6","6 to 8","6 to 8","6 to 8","4 to 6","Core i7","9","Rtx 3060-Gtx1660 ti","Pc , because it has more power than a laptop and it's setup is better"
"2023/05/04 12:49:36 PM GMT+3","21 or more","Male","Fourth","Low","20191480201","Data scientist","2","Laptop;Desktop computer","I only use laptop","Study","12000","Laptop","Windows","high end specs device(can run mostly any game ,can do mostly any graphic work , a ""beast”)","2","2","3","1","2","2","3","1","2","0 to 2","2 to 4","4 to 6","2 to 4","4 to 6","Core i7","5","..","Laptop , is better "
"2023/05/04 12:51:55 PM GMT+3","19","Male","First","Low","22011469","Data scientist","3","Laptop;Tablet","80% using laptop 20% using desktop computer","Study","15000","Laptop","Windows","Medium end device (Can run coding programs and a low-end gaming experience )","1","5","4","4","5","3","2","3","2","0 to 2","2 to 4","4 to 6","4 to 6","2 to 4","Core i5","12","Integrated","Laptop "
"2023/05/04 12:54:31 PM GMT+3","18","Female","First","Low","2202125","Data scientist","3","Laptop;Tablet","I only use laptop","Study","20000","Laptop","Windows","Medium end device (Can run coding programs and a low-end gaming experience )","2","5","3","4","4","3","1","1","1","0 to 2","0 to 2","4 to 6","2 to 4","2 to 4","Ryzen 7","12","Amd radeon","Laptop"
"2023/05/04 12:58:58 PM GMT+3","20","Female","Second","Medium","123","Data scientist","3","Laptop;Tablet","I only use laptop","Study","15000","Desktop computer","Windows","medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)","3","3","2","5","4","3","1","3","2","0 to 2","4 to 6","2 to 4","2 to 4","0 to 2","Core i5","10","IDK ","PC , its size and make perfect environment for work "
"2023/05/04 1:05:36 PM GMT+3","21 or more","Male","Fourth","Lower medium","20191524956","web developer","3","Laptop","I only use laptop","Work","2400","Laptop","Windows","Medium end device (Can run coding programs and a low-end gaming experience )","2","3","1","2","2","2","1","3","1","0 to 2","0 to 2","2 to 4","2 to 4","2 to 4","AMD a4","4","Idk","Laptop because of portability"
"2023/05/04 1:16:40 PM GMT+3","21 or more","Male","Second","Low","20221424242","Data scientist","2","Desktop computer","I only use PC","Gaming","14800","Laptop","Windows","medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)","2","4","4","2","4","4","1","1","2","0 to 2","0 to 2","0 to 2","0 to 2","2 to 4","Ryzen 5","3","Rx 5700","Currently a laptop would be more convenient for my use because of traveling mostly but I prefer a desktop PC more for reasons such as performance to price ratio,temps,ease of upgradability and a comfier setup"
"2023/05/04 1:41:39 PM GMT+3","19","Male","First","Medium","22010166","Data scientist","4","Laptop;Desktop computer;Tablet","I only use laptop","Study","22000","Laptop","Windows","medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)","3","4","4","4","4","3","1","2","2","0 to 2","0 to 2","0 to 2","2 to 4","0 to 2","Core i7","7","i donot know","laptop...more permanent usable"
"2023/05/04 1:43:10 PM GMT+3","21 or more","Female","Fourth","Lower medium","20191617046","web developer","2","Laptop","I only use laptop","Study","1","Laptop","Windows","medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)","2","4","4","5","5","4","3","3","4","0 to 2","0 to 2","4 to 6","6 to 8","2 to 4","Core i7","8","Intel (R) UHD graphics 620","PC to take it anywhere "
"2023/05/04 1:51:18 PM GMT+3","21 or more","Female","Third","Medium","1","Data scientist","2","Laptop","I only use laptop","Study","17000","Laptop","Windows","medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)","4","5","4","5","5","4","1","3","3","0 to 2","0 to 2","4 to 6","2 to 4","0 to 2","Core i7","7","I don't know ","Laptop
More flexible with performance near to pc"
"2023/05/04 2:17:05 PM GMT+3","21 or more","Male","Fourth","Low","1","Data analyst","3","Laptop;Desktop computer","80% using laptop 20% using desktop computer","Gaming","1","Laptop","Windows","high end specs device(can run mostly any game ,can do mostly any graphic work , a ""beast”)","2","2","2","2","1","1","3","3","3","+8","6 to 8","4 to 6","2 to 4","2 to 4","Ryzen 5","3","Rtx 3060 ","Pc"
"2023/05/04 2:33:37 PM GMT+3","21 or more","Female","Fourth","Medium","20191485964","mobile developer","2","Laptop","80% using laptop 20% using desktop computer","Work","15","Laptop","Windows","Medium end device (Can run coding programs and a low-end gaming experience )","2","3","4","4","3","2","2","3","4","0 to 2","2 to 4","2 to 4","4 to 6","0 to 2","Core i5","10","nvidia ","laptop 
The laptop can be moved easily from one location to other thanks to its lightweight, small size, and built-in battery."
"2023/05/04 2:38:50 PM GMT+3","19","Male","First","Medium","2206208","Cyber security analyst","3","Laptop;Desktop computer","60% using laptop 40% using desktop computer","Study","40000","Laptop","Windows","high end specs device(can run mostly any game ,can do mostly any graphic work , a ""beast”)","2","1","1","2","1","1","3","3","2","0 to 2","2 to 4","4 to 6","0 to 2","0 to 2","Core i7","12","rtx3060","laptop for the portability and work"
"2023/05/04 2:40:00 PM GMT+3","20","Male","Second","Low","6666666","Data scientist","3","Tablet","50% using laptop 50% using desktop computer","Surfing the internet","4600","Desktop computer","Windows","medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)","1","2","1","2","2","3","1","3","1","0 to 2","0 to 2","2 to 4","2 to 4","4 to 6","AMD a6","5","3","Laptop 💻 more effective "
"2023/05/04 2:41:19 PM GMT+3","21 or more","Female","Third","Low","20201447217","mobile developer","4","Laptop;Tablet","I only use laptop","Gaming","40000","Desktop computer","Windows","high end specs device(can run mostly any game ,can do mostly any graphic work , a ""beast”)","4","5","3","4","5","1","1","2","3","+8","4 to 6","4 to 6","6 to 8","2 to 4","Core i7","12","Rtx 3060","Laptop as it is much easier to mova around with especially if i need it to show work or have a game night"
"2023/05/04 2:46:07 PM GMT+3","21 or more","Female","Fourth","Lower medium","20191485923","mobile developer","2","Desktop computer","40% using laptop 60% using desktop computer","Work","11000","Desktop computer","Windows","medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)","3","2","5","2","5","3","1","2","1","0 to 2","4 to 6","2 to 4","2 to 4","4 to 6","Core i5","12","I don’t have one ","PC, high quality and performance with less price "
"2023/05/04 2:46:18 PM GMT+3","21 or more","Male","First","Lower medium","090909090900","Data scientist","3","Laptop;Desktop computer;Tablet","I only use PC","Work","8000","Laptop","Windows","medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)","3","4","5","5","5","2","1","3","1","0 to 2","4 to 6","2 to 4","4 to 6","0 to 2","Intel Xeon","5","N/A","PC, For several reasons, including that it does not heat up and its performance is better "
"2023/05/04 3:08:48 PM GMT+3","19","Female","First","Medium","22010089","Data scientist","3","Laptop","I only use laptop","Study","13000","Laptop","Windows","Medium end device (Can run coding programs and a low-end gaming experience )","3","4","2","2","3","2","1","1","1","0 to 2","0 to 2","2 to 4","4 to 6","0 to 2","Core i5","11","Intel iris x","I prefer my phone more"
"2023/05/04 3:12:16 PM GMT+3","20","Male","Second","Low","400000000 ","Teaching ","5 or more","Desktop computer;Tablet","I only use PC","Gaming","13000 ","Desktop computer","Windows","Medium end device (Can run coding programs and a low-end gaming experience )","3","1","3","1","2","2","1","1","1","2 to 4","0 to 2","4 to 6","2 to 4","0 to 2","Core i5","4","Nvidia gtx 1050 ti","Pc more comfortable to use & can upgrade your species"
"2023/05/04 3:35:12 PM GMT+3","20","Female","Second","Low","1","Quantum Physicist","4","Laptop;Desktop computer;Tablet","I only use laptop","Study","40000","Laptop","Windows","high end specs device(can run mostly any game ,can do mostly any graphic work , a ""beast”)","3","5","5","5","5","5","2","3","3","0 to 2","2 to 4","+8","+8","4 to 6","Ryzen 7","7","RTX 3050 TI","Laptop. for the reasons stated before at the scaling part. I guess especially that point of being portable. but performance wise, I think laptop perform powerfully relatively compared with PC. in addition to being affordable somehow."
"2023/05/04 5:56:43 PM GMT+3","21 or more","Male","Fourth","Low","20191567610","Video Game Developer","2","Laptop","I don’t have both","Study","7000","Desktop computer","Windows","medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)","4","2","4","5","5","4","1","2","2","0 to 2","0 to 2","2 to 4","0 to 2","2 to 4","Core i7","4","Nvidia quadro k2100","PC, cuz it has higher performance in general for a cheaper price."
"2023/05/04 6:13:45 PM GMT+3","21 or more","Female","Fourth","Lower medium","1","Data scientist","2","Laptop","60% using laptop 40% using desktop computer","Study","3900","Laptop","Windows","Medium end device (Can run coding programs and a low-end gaming experience )","2","3","5","5","4","3","1","1","5","0 to 2","4 to 6","+8","6 to 8","+8","AMD a6","10","unknown","laptop for Mobility
pc for low price with high Possibilities "
"2023/05/04 6:22:59 PM GMT+3","20","Female","Second","Medium","11","Dentist ","3","Laptop;Desktop computer;Tablet","80% using laptop 20% using desktop computer","Surfing the internet","8000","Laptop","Windows","Medium end device (Can run coding programs and a low-end gaming experience )","3","4","5","5","5","5","2","5","2","0 to 2","2 to 4","4 to 6","2 to 4","6 to 8","Core i7","10","G","Y"
"2023/05/04 6:48:16 PM GMT+3","20","Female","Second","Higher medium","20221370605","web developer","3","Desktop computer;Tablet","I only use PC","Work","13000","Desktop computer","Windows","Medium end device (Can run coding programs and a low-end gaming experience )","5","5","5","5","5","4","5","5","5","+8","4 to 6","+8","+8","6 to 8","AMD a8","10","..","Laptop "
"2023/05/04 7:14:39 PM GMT+3","20","Male","First","Low","21011060","web developer","3","Laptop;Desktop computer","80% using laptop 20% using desktop computer","Study","32000","Laptop","Windows","Medium end device (Can run coding programs and a low-end gaming experience )","3","2","3","3","2","1","1","1","3","0 to 2","2 to 4","4 to 6","2 to 4","2 to 4","Core i7","8","ASUS Dual NVIDIA GeForce RTX 3050","Laptop because laptop is more easy than pc and I can use it in any place I want and laptop take smaller place than pc"
"2023/05/04 8:05:43 PM GMT+3","19","Female","First","Lower medium","1","Software Developer","3","Laptop;Tablet","I only use laptop","Study","27000","Laptop","Windows","Medium end device (Can run coding programs and a low-end gaming experience )","4","4","2","3","4","4","2","4","3","0 to 2","0 to 2","2 to 4","0 to 2","0 to 2","Core i7","11","N/A","Laptop; more portable and lighter"
"2023/05/04 8:18:21 PM GMT+3","20","Male","Second","Low","33333","web developer","3","Desktop computer;Tablet","I don’t have both","Gaming","12000","Laptop","Windows","high end specs device(can run mostly any game ,can do mostly any graphic work , a ""beast”)","3","5","5","3","5","3","5","1","3","0 to 2","0 to 2","2 to 4","2 to 4","0 to 2","Core i5","4","GTX 1050 4GB","Both "
"2023/05/04 9:05:40 PM GMT+3","20","Male","Second","High","22419","Video Game Developer","3","Laptop;Tablet","I only use laptop","Gaming","30000","Laptop","Windows","medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)","3","4","3","3","4","2","4","3","4","+8","0 to 2","0 to 2","0 to 2","0 to 2","AMD a8","8","ASUS Dual NVIDIA GeForce RTX 3050","Laptop "
"2023/05/05 4:20:42 AM GMT+3","20","Female","Second","Lower medium","11","Electrical engineer","3","Laptop;Tablet","80% using laptop 20% using desktop computer","Surfing the internet","30000","Laptop","Windows","Medium end device (Can run coding programs and a low-end gaming experience )","4","5","2","3","5","5","1","4","1","0 to 2","0 to 2","6 to 8","0 to 2","2 to 4","Core i7","11","Intel","Laptop because of mobility "
"2023/05/05 6:34:01 AM GMT+3","21 or more","Female","Fourth","Medium","42069","Data scientist","4","Laptop;Desktop computer;Tablet","40% using laptop 60% using desktop computer","Work","15500","Desktop computer","Mac","medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)","3","4","4","4","5","4","2","1","3","4 to 6","6 to 8","2 to 4","2 to 4","4 to 6","Core i5","8","Intel Iris 5100","PC, easily upgradable, costs less for same performance, greater storage, doesn't heat up like laptops, no battery that'll die after a short time"
"2023/05/05 9:28:17 AM GMT+3","19","Male","First","Low","22010136","mobile developer","2","Laptop","20% using laptop 80% using desktop computer","Study","7500","Desktop computer","Windows","Medium end device (Can run coding programs and a low-end gaming experience )","2","2","2","2","3","3","2","1","2","0 to 2","0 to 2","0 to 2","4 to 6","2 to 4","Core i7","6","Don't know","Pc"
"2023/05/05 4:36:22 PM GMT+3","21 or more","Female","Fourth","Medium","2019482022","Data scientist","3","Laptop;Desktop computer;Tablet","80% using laptop 20% using desktop computer","Study","38000","Laptop","Windows","medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)","4","4","3","3","4","3","1","3","3","0 to 2","6 to 8","4 to 6","4 to 6","2 to 4","Core i7","11","Intel","Pc for portability "
"2023/05/05 11:55:34 PM GMT+3","19","Male","Second","Low","20221685697","Data scientist","3","Laptop;Desktop computer","20% using laptop 80% using desktop computer","Gaming","30000","Desktop computer","Windows","medium high specs device(can run graphic programs , and simulations relatively smooth, with medium to semi high gaming experience)","5","1","4","1","5","5","1","1","3","4 to 6","0 to 2","0 to 2","0 to 2","0 to 2","Ryzen 5","12","rtx 3060","i think that pc is better if you are thinking about a device that you dont change for a while and even if you to change some specs you can simply buy the components for it"
